H,label
"[[2.58091372e-06,2.40949313e-06,2.31567351e-06,2.75970179e-06],
 [2.70162381e-06,2.75918304e-06,2.35854003e-06,2.62882688e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.48149484e-06,2.27581062e-06,2.23536966e-06,2.63959494e-06],
 [2.62823561e-06,2.76628138e-06,2.34257790e-06,2.60704676e-06],
 [0.00000000e+00,2.77322777e-06,0.00000000e+00,0.00000000e+00]]","[[ 0.05467441, 0.07343153, 0.05381745, 0.08070867],
 [ 0.00749236, 0.04652972, 0.00603763, 0.04994229],
 [ 0.06361115, 0.        , 0.06568162,-0.01447187],
 [ 0.10001043, 0.        , 0.09003394, 0.50407785],
 [ 0.10143267, 0.        , 0.08030147,-0.0113703 ],
 [ 0.01722248, 0.        , 0.01852103,-0.01188034]]"
"[[2.55164718e-06,2.47995875e-06,2.57600543e-06,2.94704346e-06],
 [2.40112482e-06,2.57832596e-06,2.49940639e-06,2.94743031e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.48318120e-06,2.37276903e-06,2.48232581e-06,2.83767477e-06],
 [2.35438810e-06,2.55934695e-06,2.47015565e-06,2.77245705e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.11351807,0.05745991,0.14327743,0.07350459],
 [0.01821138,0.11203315,0.01027944,0.03934501],
 [0.08322803,0.        ,0.07327971,0.        ],
 [0.07449958,0.        ,0.06481359,0.        ],
 [0.0093729 ,0.        ,0.01535016,0.        ],
 [0.09547642,0.        ,0.15815223,0.        ]]"
"[[2.44268625e-06,2.32377857e-06,2.58653494e-06,2.20699617e-06],
 [2.55939443e-06,2.49305206e-06,2.62437147e-06,2.31401112e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.34012634e-06,2.21637886e-06,2.53794233e-06,2.16916772e-06],
 [2.53737038e-06,2.49621476e-06,2.43918433e-06,2.23762043e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.0691865 ,0.05681163,0.04194465,0.00595613],
 [0.04404736,0.07983197,0.02564981,0.05717212],
 [0.10673599,0.        ,0.13201322,0.        ],
 [0.07064345,0.        ,0.09064921,0.        ],
 [0.07740337,0.        ,0.11153549,0.        ],
 [0.08534024,0.        ,0.13900617,0.        ]]"
"[[2.53839541e-06,2.55586257e-06,2.36632783e-06,2.75314381e-06],
 [2.55112798e-06,2.54797780e-06,2.36541145e-06,2.84870871e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.45646550e-06,2.46284990e-06,2.29469811e-06,2.66507334e-06],
 [2.47848195e-06,2.50124496e-06,2.33106040e-06,2.68327659e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.08554532,0.0590945 ,0.08580533,0.09362008],
 [0.08928432,0.13260321,0.07754312,0.05583003],
 [0.07882326,0.        ,0.08224371,0.        ],
 [0.06423223,0.        ,0.06384959,0.        ],
 [0.06914472,0.        ,0.07609748,0.        ],
 [0.06248522,0.        ,0.08712018,0.        ]]"
"[[2.30498527e-06,2.34888039e-06,2.74821587e-06,2.52535664e-06],
 [2.43157802e-06,2.22924991e-06,2.81837186e-06,2.62481291e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.24269619e-06,2.30430881e-06,2.61885361e-06,2.40538331e-06],
 [2.36874139e-06,2.19537671e-06,2.76411332e-06,2.61943400e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.03812348,0.0850028 ,0.04584349,0.07929846],
 [0.10731109,0.08225962,0.1552534 ,0.11558288],
 [0.07897137,0.        ,0.05312281,0.        ],
 [0.05669924,0.        ,0.03718266,0.        ],
 [0.12042305,0.        ,0.08428445,0.        ],
 [0.0112436 ,0.        ,0.0118495 ,0.        ]]"
"[[2.50145711e-06,2.32918753e-06,2.70432197e-06,2.20856637e-06],
 [2.82834842e-06,2.31125482e-06,2.74327459e-06,2.41908836e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.40670137e-06,2.28072951e-06,2.61234255e-06,2.13812877e-06],
 [2.74127600e-06,2.24109373e-06,2.62299654e-06,2.39195217e-06],
 [2.84689336e-06,0.00000000e+00,0.00000000e+00,2.41941793e-06]]","[[-0.00237382, 0.05119509,-0.0054662 , 0.03986837],
 [ 0.06257844, 0.02237347, 0.06827606, 0.03227106],
 [ 0.06074097, 0.        , 0.05342845, 0.18781314],
 [ 0.01334096, 0.        , 0.01358917,-0.09557562],
 [ 0.03814705, 0.        , 0.03008748,-0.09779152],
 [ 0.03466194, 0.        , 0.03631059, 0.16206525]]"
"[[2.41183965e-06,2.85464485e-06,2.43946827e-06,2.23135586e-06],
 [2.68390019e-06,2.65037842e-06,2.56865738e-06,2.46651878e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.33338776e-06,2.74044792e-06,2.32656419e-06,2.10768446e-06],
 [2.60357297e-06,2.59933309e-06,2.56530859e-06,2.48995293e-06],
 [2.69478809e-06,0.00000000e+00,0.00000000e+00,2.48693220e-06]]","[[ 0.00145024, 0.06462228, 0.01414239, 0.07397212],
 [ 0.09219284, 0.02386007, 0.08935047, 0.04052209],
 [ 0.02659826, 0.        , 0.02273841, 0.1838861 ],
 [ 0.00591501, 0.        ,-0.00190065,-0.09147152],
 [ 0.03318722, 0.        , 0.00665074,-0.10196265],
 [ 0.00772737, 0.        , 0.00073203, 0.16344514]]"
"[[2.52189605e-06,2.76612397e-06,2.87832908e-06,2.12929061e-06],
 [2.80900804e-06,2.47378410e-06,2.89647198e-06,2.38228584e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.40037565e-06,2.67865589e-06,2.76955925e-06,2.03391646e-06],
 [2.77428753e-06,2.44396591e-06,2.74763534e-06,2.38248419e-06],
 [2.86022502e-06,0.00000000e+00,0.00000000e+00,2.37499533e-06]]","[[-1.85567287e-03, 6.95380847e-02,-4.51369056e-03, 4.17398254e-02],
 [ 8.75796724e-02, 3.06350242e-02, 8.91999214e-02, 4.13464975e-02],
 [ 4.40606570e-02, 0.00000000e+00, 4.09574074e-02, 1.87409982e-01],
 [ 5.60915401e-04, 0.00000000e+00,-6.72706137e-05,-8.99741567e-02],
 [ 3.08612256e-02, 0.00000000e+00, 2.99649336e-02,-1.02359049e-01],
 [ 7.90265867e-04, 0.00000000e+00, 1.25904101e-02, 1.61161222e-01]]"
"[[2.54701600e-06,2.82358950e-06,2.47698468e-06,2.29626895e-06],
 [2.86682727e-06,2.84587968e-06,2.36671966e-06,2.50425427e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.40955826e-06,2.69959916e-06,2.40307005e-06,2.23633648e-06],
 [2.85295614e-06,2.75917515e-06,2.34401203e-06,2.43611301e-06],
 [2.92440414e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[ 0.00912896, 0.03458264, 0.00680378, 0.04296173],
 [ 0.07818907, 0.09985111, 0.06535205, 0.09047427],
 [ 0.0923737 , 0.        , 0.0954672 , 0.49127728],
 [ 0.0335741 , 0.        , 0.03777431,-0.0131126 ],
 [ 0.02078405, 0.        , 0.02236525,-0.01069042],
 [ 0.06823717, 0.        , 0.06006539,-0.01091905]]"
"[[2.93590088e-06,2.40766118e-06,2.84177625e-06,2.26200175e-06],
 [2.94370015e-06,2.52592887e-06,3.16434917e-06,2.30694681e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.79925610e-06,2.32129302e-06,2.72602651e-06,2.21921418e-06],
 [2.84194686e-06,2.48099670e-06,2.97932110e-06,2.22723601e-06],
 [0.00000000e+00,0.00000000e+00,3.29192379e-06,0.00000000e+00]]","[[ 0.09662164, 0.01749371, 0.07597338, 0.01478624],
 [ 0.05880694, 0.06913779, 0.05526962, 0.06196078],
 [ 0.01079824, 0.        , 0.01017416,-0.0147242 ],
 [ 0.07276297, 0.        , 0.08690451,-0.01137308],
 [ 0.06866997, 0.        , 0.06122085, 0.50344138],
 [ 0.08244763, 0.        , 0.09428624,-0.01092738]]"
