H,label
"[[2.46496193e-06,2.60521055e-06,2.25713399e-06,2.10897276e-06],
 [2.56646521e-06,2.60380552e-06,2.41014407e-06,2.21319643e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.35027407e-06,2.54622237e-06,2.20315499e-06,2.02976934e-06],
 [2.56618640e-06,2.44982600e-06,2.34608690e-06,2.21549018e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.07059113,0.10444073,0.0426988 ,0.07913801],
 [0.11266543,0.07875052,0.13339828,0.10849824],
 [0.0571244 ,0.        ,0.06633626,0.        ],
 [0.06216625,0.        ,0.05394688,0.        ],
 [0.07604165,0.        ,0.12046587,0.        ],
 [0.05264836,0.        ,0.01225037,0.        ]]"
"[[2.15251833e-06,2.36483269e-06,2.53856801e-06,2.36868645e-06],
 [2.19282408e-06,2.48314808e-06,2.55493478e-06,2.45797764e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.09125160e-06,2.27739851e-06,2.44164873e-06,2.28848427e-06],
 [2.17886374e-06,2.45191756e-06,2.51603193e-06,2.41729187e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.07972636,0.06381329,0.09563006,0.05865867],
 [0.05724113,0.09115424,0.05153755,0.08079732],
 [0.10180007,0.        ,0.08714768,0.        ],
 [0.0693521 ,0.        ,0.06700369,0.        ],
 [0.05804621,0.        ,0.07355852,0.        ],
 [0.10022778,0.        ,0.09772365,0.        ]]"
"[[2.19081452e-06,2.34497697e-06,2.49117009e-06,2.65752255e-06],
 [2.37043460e-06,2.50922089e-06,2.61074905e-06,2.69261914e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.11426778e-06,2.27881300e-06,2.37171008e-06,2.57846502e-06],
 [2.35354453e-06,2.43762950e-06,2.60935242e-06,2.56003845e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.0300227 ,0.06907624,0.03018398,0.10055462],
 [0.06199301,0.04381489,0.07054091,0.00910567],
 [0.07622065,0.        ,0.05195595,0.        ],
 [0.11903302,0.        ,0.12915127,0.        ],
 [0.09393511,0.        ,0.13445051,0.        ],
 [0.09602417,0.        ,0.06778884,0.        ]]"
"[[2.26713279e-06,2.61083726e-06,2.27927187e-06,2.43928402e-06],
 [2.31855504e-06,2.57502475e-06,2.33742684e-06,2.57811844e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.22298152e-06,2.49474789e-06,2.19836830e-06,2.38083116e-06],
 [2.23926941e-06,2.57014017e-06,2.32689482e-06,2.45946787e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.07408125,0.06884828,0.11552747,0.1185065 ],
 [0.1172432 ,0.13118195,0.07415069,0.06468714],
 [0.06342058,0.        ,0.05275734,0.        ],
 [0.05013336,0.        ,0.05866629,0.        ],
 [0.07268633,0.        ,0.04303808,0.        ],
 [0.04072768,0.        ,0.07653879,0.        ]]"
"[[2.51873859e-06,2.66639020e-06,2.76912557e-06,2.55678928e-06],
 [2.58186661e-06,2.53198285e-06,2.52485313e-06,2.87312848e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.42035495e-06,2.56370612e-06,2.68202167e-06,2.43536016e-06],
 [2.54042834e-06,2.51003267e-06,2.46768079e-06,2.82303091e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,2.92250752e-06]]","[[ 0.02933843, 0.03855782, 0.025721  , 0.03311777],
 [ 0.07708165, 0.01651133, 0.07115178, 0.01612767],
 [ 0.09619276, 0.        , 0.10035331,-0.01450143],
 [ 0.00574596, 0.        , 0.00484751,-0.01189915],
 [ 0.11158217, 0.        , 0.10753179,-0.0117547 ],
 [ 0.05923523, 0.        , 0.06498683, 0.50249947]]"
"[[2.46093953e-06,2.55801770e-06,2.32867196e-06,2.51032949e-06],
 [2.42354189e-06,2.65668131e-06,2.47882532e-06,2.61165208e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.35521750e-06,2.47645455e-06,2.18779668e-06,2.43333762e-06],
 [2.44522419e-06,2.55471129e-06,2.53965806e-06,2.51600639e-06],
 [0.00000000e+00,0.00000000e+00,2.55727083e-06,0.00000000e+00]]","[[ 0.09069016, 0.0118868 , 0.0753477 , 0.01531276],
 [ 0.06501802, 0.08520387, 0.06723866, 0.0656034 ],
 [ 0.00817167, 0.        , 0.00590815,-0.01444447],
 [ 0.06314485, 0.        , 0.06667979,-0.01238611],
 [ 0.0388604 , 0.        , 0.07911314, 0.50828284],
 [ 0.08517348, 0.        , 0.0636916 ,-0.01229929]]"
"[[2.74118041e-06,2.36760022e-06,2.19655346e-06,2.53336972e-06],
 [2.76480927e-06,2.36122050e-06,2.42755456e-06,2.79682228e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.66185595e-06,2.31158053e-06,2.11672968e-06,2.40083856e-06],
 [2.60001384e-06,2.29246323e-06,2.41190445e-06,2.78491240e-06],
 [0.00000000e+00,0.00000000e+00,2.42626807e-06,2.86706773e-06]]","[[ 0.07348771, 0.02568366, 0.07096567, 0.0325744 ],
 [ 0.06086542, 0.02496079, 0.06470553, 0.03364775],
 [ 0.00723467, 0.        , 0.00955089,-0.12043119],
 [ 0.00797212, 0.        , 0.00026332,-0.11388204],
 [ 0.05372503, 0.        , 0.01720127, 0.14708739],
 [ 0.03968869, 0.        , 0.04514419, 0.15760119]]"
"[[2.55326679e-06,2.46601100e-06,2.62422207e-06,2.60666866e-06],
 [2.83320413e-06,2.31471306e-06,2.81458685e-06,2.52121402e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.45485803e-06,2.42947967e-06,2.52239034e-06,2.52175646e-06],
 [2.74025407e-06,2.22461228e-06,2.71690216e-06,2.46241103e-06],
 [2.87796787e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[ 0.00885873, 0.10580454, 0.00842949, 0.09668075],
 [ 0.08695075, 0.05319645, 0.10464599, 0.05947706],
 [ 0.03305236, 0.        , 0.02552836, 0.4910501 ],
 [ 0.0800069 , 0.        , 0.07078138,-0.01212337],
 [ 0.02029876, 0.        , 0.01943662,-0.01161711],
 [ 0.03580937, 0.        , 0.03035175,-0.01121076]]"
"[[2.32814822e-06,2.40835979e-06,2.60879308e-06,2.30013736e-06],
 [2.55267975e-06,2.51298543e-06,2.80016251e-06,2.53814738e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.17808185e-06,2.32440134e-06,2.50282648e-06,2.18811044e-06],
 [2.61342417e-06,2.46554909e-06,2.71774547e-06,2.54188449e-06],
 [2.61381352e-06,0.00000000e+00,2.88574837e-06,2.55873016e-06]]","[[ 0.0151619 , 0.03635432,-0.00987693,-0.00478961],
 [ 0.07264287, 0.05302195, 0.07292437, 0.05396334],
 [ 0.05466599, 0.        , 0.06731913, 0.09495297],
 [ 0.0272059 , 0.        , 0.02754602,-0.18319903],
 [ 0.03180561, 0.        , 0.10938226, 0.10051676],
 [ 0.06450364, 0.        , 0.05242205, 0.08613563]]"
"[[2.64086254e-06,2.24336940e-06,2.38669769e-06,2.40286399e-06],
 [2.70375246e-06,2.23888094e-06,2.53751324e-06,3.12838341e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.55743467e-06,2.18290380e-06,2.29521419e-06,2.28498886e-06],
 [2.58208903e-06,2.21722994e-06,2.50269232e-06,3.08605335e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,2.95762826e-06]]","[[ 0.08724007, 0.08553568, 0.08550507, 0.0933791 ],
 [ 0.08411285, 0.02253317, 0.08712867, 0.02310274],
 [ 0.05797987, 0.        , 0.05200317,-0.0144312 ],
 [ 0.00480755, 0.        , 0.00361842,-0.01103783],
 [ 0.0761679 , 0.        , 0.05041638,-0.0118006 ],
 [ 0.0549382 , 0.        , 0.06318926, 0.50222327]]"
"[[2.84146093e-06,2.73380516e-06,2.51804169e-06,2.29445595e-06],
 [2.79193176e-06,2.69348358e-06,2.83440175e-06,2.33281978e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.76230017e-06,2.63046575e-06,2.37562548e-06,2.20988139e-06],
 [2.60208086e-06,2.61192642e-06,2.83898546e-06,2.33092046e-06],
 [0.00000000e+00,0.00000000e+00,2.89042794e-06,0.00000000e+00]]","[[ 0.09091136, 0.01754507, 0.0972457 , 0.02018172],
 [ 0.08082736, 0.07241019, 0.07463048, 0.1018639 ],
 [ 0.00823003, 0.        , 0.00638588,-0.01413555],
 [ 0.05696466, 0.        , 0.05352518,-0.01173977],
 [ 0.07232524, 0.        , 0.03454165, 0.50249887],
 [ 0.06919152, 0.        , 0.06587849,-0.01107191]]"
"[[2.41048742e-06,2.47220984e-06,2.58262711e-06,2.44837611e-06],
 [2.65936217e-06,2.49649260e-06,2.84288397e-06,2.50761715e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.36176816e-06,2.43256017e-06,2.54746383e-06,2.38451474e-06],
 [2.52198692e-06,2.33579845e-06,2.58790260e-06,2.41208153e-06],
 [2.66544173e-06,0.00000000e+00,2.87103950e-06,0.00000000e+00]]","[[-0.00064969, 0.02888957,-0.00279399, 0.0067    ],
 [ 0.06245574, 0.04342533, 0.06596593, 0.05854878],
 [ 0.01309526, 0.        , 0.01617172, 0.17717932],
 [ 0.05046619, 0.        , 0.04292571,-0.10067406],
 [ 0.02037576, 0.        , 0.04172499, 0.16979115],
 [ 0.03937035, 0.        , 0.02690075,-0.10223161]]"
"[[2.53150086e-06,2.53043658e-06,2.55847894e-06,2.53081315e-06],
 [2.61012031e-06,2.63834986e-06,2.71468345e-06,2.74061383e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.47369245e-06,2.40442485e-06,2.45313058e-06,2.44961337e-06],
 [2.46385292e-06,2.64242396e-06,2.65540552e-06,2.62845891e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[ 0.10768888, 0.08448919, 0.16978713, 0.09796199],
 [ 0.06833431, 0.1231447 , 0.03767896, 0.07369828],
 [ 0.0637116 , 0.        , 0.04723467, 0.        ],
 [ 0.04713152, 0.        , 0.04712597, 0.        ],
 [ 0.03579575, 0.        ,-0.0171795 , 0.        ],
 [ 0.05085772, 0.        , 0.13511653, 0.        ]]"
"[[2.14322361e-06,2.52286565e-06,2.73385883e-06,2.46140233e-06],
 [2.20734994e-06,2.70045069e-06,2.87352759e-06,2.55784692e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.11529296e-06,2.43574488e-06,2.63017177e-06,2.40273551e-06],
 [2.13069929e-06,2.60948830e-06,2.74595240e-06,2.43769826e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.08219071,0.09423028,0.12388086,0.07933915],
 [0.05531906,0.07645377,0.04239772,0.06135832],
 [0.08048467,0.        ,0.05667216,0.        ],
 [0.08628851,0.        ,0.08450911,0.        ],
 [0.04447323,0.        ,0.05484005,0.        ],
 [0.09921489,0.        ,0.1095349 ,0.        ]]"
"[[2.46860947e-06,2.82380606e-06,2.68239814e-06,2.78144903e-06],
 [2.43064162e-06,2.98483919e-06,2.48094285e-06,2.53542880e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.41403667e-06,2.72569060e-06,2.61024852e-06,2.68887796e-06],
 [2.33198723e-06,2.79787095e-06,2.40815397e-06,2.48615156e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.0520346 ,0.03091482,0.06661871,0.04337448],
 [0.01476047,0.02203221,0.00963301,0.04377078],
 [0.10348819,0.        ,0.10403663,0.        ],
 [0.11679521,0.        ,0.0991002 ,0.        ],
 [0.07866979,0.        ,0.08814957,0.        ],
 [0.16715256,0.        ,0.09296172,0.        ]]"
"[[2.54707728e-06,2.48856896e-06,2.73308332e-06,2.42534112e-06],
 [2.64576530e-06,2.66849001e-06,2.80382765e-06,2.55324813e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.38841625e-06,2.39240355e-06,2.65503855e-06,2.38115475e-06],
 [2.71683755e-06,2.60837118e-06,2.62717731e-06,2.40719566e-06],
 [2.80207119e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[ 0.01196001, 0.06153096, 0.00802414, 0.0425985 ],
 [ 0.04887527, 0.07201725, 0.03978003, 0.05482242],
 [ 0.08429538, 0.        , 0.08135702, 0.49615099],
 [ 0.06493436, 0.        , 0.07504132,-0.01302803],
 [ 0.01133429, 0.        , 0.0202804 ,-0.01167891],
 [ 0.07278728, 0.        , 0.10383288,-0.01127359]]"
"[[2.36072977e-06,2.41115973e-06,2.33118599e-06,2.38577716e-06],
 [2.74623680e-06,2.64276476e-06,2.31627426e-06,2.43065452e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.24475323e-06,2.32457798e-06,2.22301591e-06,2.35972189e-06],
 [2.73192188e-06,2.58135490e-06,2.36680152e-06,2.25985837e-06],
 [2.72873640e-06,2.66557723e-06,0.00000000e+00,0.00000000e+00]]","[[-0.01634137, 0.02817029,-0.02286203, 0.06737359],
 [ 0.01950516, 0.05105468, 0.02049214, 0.00837473],
 [ 0.0600673 , 0.        , 0.04290483, 0.17635657],
 [ 0.06014832, 0.        , 0.07910668, 0.16584185],
 [ 0.04206329, 0.        , 0.05559074,-0.09964801],
 [ 0.02033423, 0.        , 0.01468577,-0.09603946]]"
"[[2.57731330e-06,2.59392267e-06,2.31733972e-06,2.64289965e-06],
 [2.83777652e-06,2.56586220e-06,2.28195753e-06,2.72402861e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.45335635e-06,2.52124765e-06,2.24333648e-06,2.56542505e-06],
 [2.79473388e-06,2.46117164e-06,2.27961810e-06,2.58219049e-06],
 [2.91205427e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[ 0.01012908, 0.05261778, 0.00775694, 0.08209684],
 [ 0.07897738, 0.09096055, 0.07897968, 0.06337795],
 [ 0.07044507, 0.        , 0.06638412, 0.49347013],
 [ 0.06104403, 0.        , 0.0600437 ,-0.01267331],
 [ 0.02063133, 0.        , 0.02238962,-0.01073813],
 [ 0.06349959, 0.        , 0.05320241,-0.0114563 ]]"
"[[2.46924115e-06,2.72093051e-06,2.51644513e-06,2.69700871e-06],
 [2.54508663e-06,2.73956127e-06,2.88035855e-06,2.55014359e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.38281057e-06,2.64189790e-06,2.40336007e-06,2.59712921e-06],
 [2.49028156e-06,2.58425256e-06,2.82041637e-06,2.51362182e-06],
 [0.00000000e+00,0.00000000e+00,2.89904534e-06,0.00000000e+00]]","[[ 0.04177695, 0.01570967, 0.0392173 , 0.01616367],
 [ 0.06961657, 0.03836716, 0.07342605, 0.05075567],
 [ 0.00526563, 0.        , 0.00420291,-0.0144986 ],
 [ 0.09783502, 0.        , 0.08819897,-0.01230182],
 [ 0.08814083, 0.        , 0.10909253, 0.50558477],
 [ 0.08331933, 0.        , 0.05080591,-0.0119703 ]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [1.95246547e-06,2.01761157e-06,2.20434833e-06,1.90340117e-06],
 [0.00000000e+00,0.00000000e+00,2.53203949e-06,0.00000000e+00],
 [2.61567207e-06,2.53580171e-06,2.52448319e-06,0.00000000e+00],
 [2.43027257e-06,2.47534685e-06,2.23682221e-06,2.32072145e-06],
 [1.96582850e-06,2.05464536e-06,2.16452836e-06,1.90356097e-06]]","[[ 0.        , 0.018354  , 0.12534146, 0.00895852],
 [ 0.        , 0.06795205, 0.10152343, 0.08626947],
 [ 0.        ,-0.01742002, 0.01560879, 0.03294707],
 [ 0.        ,-0.01409284,-0.10863326, 0.04789887],
 [ 0.03473325, 0.48147388, 0.05651671, 0.01672718],
 [ 0.043225  ,-0.00688682, 0.05423408, 0.06677726]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.15340064e-06,2.10488824e-06,2.08583237e-06,2.33618432e-06],
 [3.04839462e-06,2.73856586e-06,2.93082002e-06,2.88955516e-06],
 [3.00833095e-06,2.68919361e-06,2.89421547e-06,2.74680480e-06],
 [2.68047951e-06,2.52835866e-06,2.64927783e-06,2.60497716e-06],
 [2.16030291e-06,2.12246958e-06,2.10463332e-06,2.34392770e-06]]","[[ 0.        , 0.0136828 , 0.12124166, 0.07727444],
 [ 0.        , 0.13332152, 0.04617147, 0.02529122],
 [ 0.        , 0.10127387, 0.0871393 ,-0.00123311],
 [ 0.        , 0.0459581 , 0.00399167, 0.06384822],
 [ 0.00133879, 0.07766067, 0.03799978, 0.01588879],
 [ 0.05933748, 0.02737547, 0.07878836, 0.12519231]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.23852716e-06,1.85239706e-06,2.08925894e-06,2.07870153e-06],
 [2.88399673e-06,0.00000000e+00,2.89878206e-06,2.69908381e-06],
 [2.78588638e-06,2.54152400e-06,2.87852738e-06,2.70185981e-06],
 [2.60773679e-06,2.43200777e-06,2.57542524e-06,2.38565792e-06],
 [2.25051024e-06,1.88381431e-06,2.09278500e-06,2.06114389e-06]]","[[ 0.        ,-0.00089819,-0.02529732, 0.04616302],
 [ 0.        , 0.05164594, 0.0814552 , 0.01418165],
 [ 0.        , 0.08979765, 0.07990358, 0.08932289],
 [ 0.        ,-0.18012186, 0.05940662, 0.04756884],
 [ 0.0771477 , 0.10684339, 0.04124198, 0.00031629],
 [ 0.04449873, 0.08758826, 0.09021386, 0.03995506]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.09179960e-06,2.03307770e-06,2.49755635e-06,1.94451887e-06],
 [0.00000000e+00,2.40199539e-06,3.23773992e-06,0.00000000e+00],
 [2.81924425e-06,2.37735183e-06,2.91492441e-06,2.38858403e-06],
 [2.83210028e-06,2.22409577e-06,2.93643502e-06,2.27760807e-06],
 [2.16754410e-06,2.02641218e-06,2.54528095e-06,1.95688118e-06]]","[[ 0.        , 0.01682171, 0.07564576, 0.02396836],
 [ 0.        , 0.06299494, 0.02517326, 0.03735471],
 [ 0.        ,-0.1123687 , 0.00278924, 0.01087803],
 [ 0.        , 0.13913062, 0.05996644, 0.02795226],
 [-0.00377447, 0.16433291, 0.11845632, 0.0219259 ],
 [ 0.03594836,-0.11047208,-0.00061616, 0.05668161]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.17676146e-06,2.02718875e-06,2.02640101e-06,1.87329896e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,2.69557100e-06],
 [2.84262424e-06,2.95704052e-06,2.64102985e-06,0.00000000e+00],
 [2.75193602e-06,2.73370001e-06,2.63049175e-06,2.40708266e-06],
 [2.22085144e-06,2.06061489e-06,2.08742323e-06,1.87178927e-06]]","[[ 0.        , 0.07020382, 0.07524978, 0.09052156],
 [ 0.        , 0.0189148 , 0.14688121, 0.02351435],
 [ 0.        ,-0.01004192, 0.06321665, 0.0851416 ],
 [ 0.        ,-0.00572512,-0.02919208, 0.02953532],
 [ 0.08671883,-0.00863717, 0.06711299, 0.07965412],
 [ 0.03225916, 0.47865964, 0.07084087, 0.0182372 ]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.10806187e-06,2.04033438e-06,2.04416559e-06,2.03878671e-06],
 [2.81897603e-06,0.00000000e+00,2.65136234e-06,0.00000000e+00],
 [2.77231688e-06,2.38483134e-06,2.62604170e-06,2.39768408e-06],
 [2.57608128e-06,2.42419727e-06,2.45120390e-06,2.30375883e-06],
 [2.12484323e-06,2.09310638e-06,2.05615229e-06,2.05034420e-06]]","[[ 0.        , 0.01524878, 0.03443609, 0.01885439],
 [ 0.        , 0.05934445, 0.03482454, 0.04023579],
 [ 0.        , 0.18339275, 0.02914118, 0.00148093],
 [ 0.        ,-0.09631504, 0.05589922, 0.05568569],
 [ 0.00224859, 0.1625425 , 0.01690116, 0.01355419],
 [ 0.04571133,-0.0968248 , 0.07185998, 0.05347435]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.05199179e-06,1.99323881e-06,2.14546627e-06,2.14966023e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.68802182e-06,2.50511096e-06,2.96593077e-06,2.89995244e-06],
 [2.53906937e-06,2.37609115e-06,2.83570231e-06,2.81260414e-06],
 [2.07638376e-06,2.00890759e-06,2.19351945e-06,2.20181307e-06]]","[[0.        ,0.02797249,0.08576856,0.11154866],
 [0.        ,0.04011941,0.04869087,0.12084918],
 [0.        ,0.        ,0.1152454 ,0.08335242],
 [0.        ,0.        ,0.08591464,0.10850703],
 [0.08826503,0.        ,0.05444802,0.03482823],
 [0.1247611 ,0.        ,0.03846129,0.05048027]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [1.91883502e-06,2.04489061e-06,2.21657298e-06,2.20959727e-06],
 [0.00000000e+00,0.00000000e+00,3.03839254e-06,3.31439421e-06],
 [2.74155696e-06,2.35156782e-06,2.97806362e-06,3.23496626e-06],
 [2.58816658e-06,2.37584873e-06,2.67082027e-06,2.87722758e-06],
 [1.95451533e-06,2.08819964e-06,2.22006029e-06,2.22884352e-06]]","[[ 0.        , 0.02810785, 0.11232078, 0.00525658],
 [ 0.        ,-0.00336614, 0.00552938, 0.01983399],
 [ 0.        ,-0.11729558, 0.01533839,-0.00356614],
 [ 0.        ,-0.10180983, 0.03742037, 0.08866234],
 [-0.00458253, 0.14900651, 0.08195654, 0.02422326],
 [ 0.08273786, 0.15663098, 0.04189769,-0.00284796]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [1.89298874e-06,1.94702021e-06,2.11140530e-06,2.08294825e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,2.54383840e-06],
 [2.40575295e-06,2.27311928e-06,2.82948601e-06,2.51044711e-06],
 [2.34576955e-06,2.26904895e-06,2.65624682e-06,2.33508590e-06],
 [1.92667391e-06,1.98390384e-06,2.13918415e-06,2.08020190e-06]]","[[ 0.        , 0.04247272, 0.0815523 , 0.07708213],
 [ 0.        , 0.01482333, 0.04458424, 0.01112745],
 [ 0.        ,-0.01346486, 0.11730116, 0.05916971],
 [ 0.        ,-0.01086329, 0.01437783, 0.09318274],
 [ 0.05706245,-0.0115548 , 0.09104216, 0.04139809],
 [ 0.08867872, 0.4996122 , 0.06539334, 0.01389903]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.08843286e-06,1.98574943e-06,1.87648050e-06,2.00045632e-06],
 [0.00000000e+00,2.77528515e-06,0.00000000e+00,0.00000000e+00],
 [2.74815913e-06,2.79945929e-06,2.41032103e-06,2.83942489e-06],
 [2.58091372e-06,2.40949313e-06,2.31567351e-06,2.75970179e-06],
 [2.11145103e-06,1.96727018e-06,1.89935228e-06,2.06022258e-06]]","[[ 0.        , 0.076597  , 0.07729136, 0.06409158],
 [ 0.        , 0.03007613, 0.01344327, 0.10455291],
 [ 0.        ,-0.01561121, 0.06235414, 0.07241962],
 [ 0.        , 0.46698689, 0.08787306, 0.00647755],
 [ 0.07661929,-0.0116868 , 0.05578667, 0.07474166],
 [ 0.00784031,-0.01237252, 0.00584913, 0.03745908]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [1.93609471e-06,1.96944539e-06,1.95434642e-06,2.26898234e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.55277133e-06,2.65313536e-06,2.64010337e-06,3.01057459e-06],
 [2.55164718e-06,2.47995875e-06,2.57600543e-06,2.94704346e-06],
 [2.00142943e-06,1.98898204e-06,2.00457572e-06,2.32633550e-06]]","[[0.        ,0.05349055,0.03097493,0.09680572],
 [0.        ,0.0729785 ,0.14088762,0.08838263],
 [0.        ,0.        ,0.09533466,0.09112528],
 [0.        ,0.        ,0.07825864,0.05338292],
 [0.06368931,0.        ,0.12628169,0.05669365],
 [0.07728952,0.        ,0.0320161 ,0.07636143]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [1.96742970e-06,1.89629283e-06,2.20228485e-06,2.01444333e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.61842616e-06,0.00000000e+00,2.57444769e-06,2.27881062e-06],
 [2.44268625e-06,2.32377857e-06,2.58653494e-06,2.20699617e-06],
 [1.98293639e-06,1.89748480e-06,2.24583567e-06,2.02236582e-06]]","[[ 0.        , 0.05127823, 0.16442756, 0.06087988],
 [ 0.        , 0.08539838,-0.16838531, 0.01778387],
 [ 0.        , 0.        , 0.08195606,-0.00660502],
 [ 0.        , 0.        , 0.07717875, 0.07345122],
 [-0.00387499, 0.        , 0.07761561, 0.06290488],
 [ 0.07541623, 0.        , 0.10963042, 0.07885063]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.03059504e-06,1.99474226e-06,1.90611233e-06,2.24040069e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,2.98405068e-06],
 [2.61648557e-06,2.64687658e-06,2.43022627e-06,2.84669565e-06],
 [2.53839541e-06,2.55586257e-06,2.36632783e-06,2.75314381e-06],
 [2.06904436e-06,2.03491736e-06,1.94000644e-06,2.27870018e-06]]","[[ 0.        , 0.07180858, 0.0808463 , 0.07697026],
 [ 0.        , 0.01268292, 0.09476858, 0.01417883],
 [ 0.        ,-0.01373319, 0.07462844, 0.07203702],
 [ 0.        ,-0.01109901, 0.01479851, 0.05527046],
 [ 0.07073203,-0.01076589, 0.07961083, 0.0722632 ],
 [ 0.05345405, 0.50089541, 0.08629472, 0.01280568]]"
"[[0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.00773395e-06,1.84206330e-06,2.09899053e-06,1.96796615e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.42425206e-06,2.34678334e-06,2.94234905e-06,2.72223870e-06],
 [2.30498527e-06,2.34888039e-06,2.74821587e-06,2.52535664e-06],
 [2.01710185e-06,1.90117431e-06,2.13336778e-06,1.98821992e-06]]","[[0.        ,0.02452364,0.00743363,0.08677758],
 [0.        ,0.03338348,0.03908459,0.07469112],
 [0.        ,0.        ,0.1328437 ,0.13239307],
 [0.        ,0.        ,0.13193263,0.07510265],
 [0.16466802,0.        ,0.00983645,0.02633495],
 [0.05346792,0.        ,0.11742664,0.03145716]]"
